name,Number.of.Bordering.Countries,Bordering.countries
Sudan,7,"Central African Republic: 483 km (300 mi) Chad: 1,360 km (850 mi) Egypt: 1,273 km (791 mi) Eritrea: 605 km (376 mi) Ethiopia: 723 km (449 mi) Libya: 383 km (238 mi) South Sudan: 1,937 km (1,204 mi)"
Suriname,3,Brazil: 597 km (371 mi) French Guiana[o] (France): 510 km (320 mi) Guyana: 600 km (370 mi)
Sweden,2,"Finland (2): 614 km (382 mi) (including 0.5 km [0.3 mi] segment with Åland) Norway: 1,619 km (1,006 mi)"
Switzerland,5,Austria (2): 164 km (102 mi) France: 573 km (356 mi) Italy (2):[ad] 740 km (460 mi) Liechtenstein: 41 km (25 mi) Germany (2):[ab] 334 km (208 mi)
Syria,5,Iraq: 605 km (376 mi) Israel: 76 km (47 mi) Jordan: 375 km (233 mi) Lebanon: 375 km (233 mi) Turkey (2):[ao] 822 km (511 mi)
Taiwan,0,
Tajikistan,4,"Afghanistan: 1,206 km (749 mi) People's Republic of China: 414 km (257 mi) Kyrgyzstan (3):[ae] 870 km (540 mi) Uzbekistan (2):[ap] 1,161 km (721 mi)"
Tanzania,8,Burundi: 451 km (280 mi) Democratic Republic of the Congo: 459 km (285 mi) Kenya: 769 km (478 mi) Malawi: 475 km (295 mi) Mozambique: 756 km (470 mi) Rwanda: 217 km (135 mi) Uganda: 396 km (246 mi) Zambia: 338 km (210 mi)
Thailand,4,"Cambodia: 803 km (499 mi) Laos: 1,754 km (1,090 mi) Malaysia: 506 km (314 mi) Myanmar: 2,416 km (1,501 mi)"
Timor-Leste,1,Indonesia (2): 228 km (142 mi)
Togo,3,Benin: 644 km (400 mi) Burkina Faso: 126 km (78 mi) Ghana: 877 km (545 mi)
Trinidad and Tobago,0,
Tunisia,2,"Algeria: 1,010 km (630 mi) Libya: 459 km (285 mi)"
Turkey,8,Armenia: 268 km (167 mi) Azerbaijan:[i] 9 km (5.6 mi) Bulgaria: 240 km (150 mi) Georgia: 252 km (157 mi) Greece: 206 km (128 mi) Iran: 499 km (310 mi) Iraq: 352 km (219 mi) Syria (2):[ao] 822 km (511 mi)
Turkmenistan,4,"Afghanistan: 744 km (462 mi) Iran: 992 km (616 mi) Kazakhstan: 379 km (235 mi) Uzbekistan: 1,621 km (1,007 mi)"
Uganda,5,Democratic Republic of the Congo: 765 km (475 mi) Kenya: 933 km (580 mi) Rwanda: 169 km (105 mi) South Sudan: 435 km (270 mi) Tanzania: 396 km (246 mi)
Ukraine,7,"Belarus: 891 km (554 mi) Hungary: 103 km (64 mi) Moldova: 939 km (583 mi) Poland: 526 km (327 mi) Romania (2): 531 km (330 mi)[al] Russia: 1,576 km (979 mi) Slovakia: 91 km (57 mi)"
United Arab Emirates,2,Oman (4): 410 km (250 mi) Saudi Arabia: 457 km (284 mi)
United Kingdom,1,Ireland: 499 km (310 mi)
United States of America,2,"Canada (4): 8,893 km (5,526 mi)[p] Mexico: 3,141 km (1,952 mi)"
Uruguay,2,Argentina: 579 km (360 mi) Brazil: 985 km (612 mi)
Uzbekistan,5,"Afghanistan: 137 km (85 mi) Kazakhstan: 2,203 km (1,369 mi) Kyrgyzstan (6):[af] 1,099 km (683 mi) Tajikistan (2):[ap] 1,161 km (721 mi) Turkmenistan: 1,621 km (1,007 mi)"
Vanuatu,0,
Vatican City,1,Italy: 3.2 km (2.0 mi)
Venezuela,3,"Brazil: 2,200 km (1,400 mi) Colombia: 2,050 km (1,270 mi) Guyana: 743 km (462 mi)"
Vietnam,3,"Cambodia: 1,228 km (763 mi)
 People's Republic of China: 1,281 km (796 mi)
 Laos: 2,130 km (1,320 mi)"
Western Sahara[d],3,"Algeria: 42 km (26 mi)
 Mauritania: 1,561 km (970 mi)
 Morocco: 443 km (275 mi)"
Yemen,2,"Oman: 288 km (179 mi)
 Saudi Arabia: 1,458 km (906 mi)"
Zambia,8,"Angola: 1,110 km (690 mi)
 Botswana: 0.15 km (0.093 mi)
 Democratic Republic of the Congo: 1,930 km (1,200 mi)
 Malawi: 837 km (520 mi)
 Mozambique: 419 km (260 mi)
 Namibia: 233 km (145 mi)
 Tanzania: 338 km (210 mi)
 Zimbabwe: 797 km (495 mi)"
Zimbabwe,4,"Botswana: 813 km (505 mi)
 Mozambique: 1,231 km (765 mi)
 South Africa: 225 km (140 mi)
 Zambia: 797 km (495 mi)"
